,accountability_score,administrative_expenses,charity_name,charity_url,city,cn_advisory,compensation_leader_compensation,compensation_leader_expense_percent,compensation_leader_title,excess_or_deficit_for_year,financial_score,fundraising_expenses,net_assets,other_revenue,overall_score,payments_to_affiliates,program_expenses,state,total_contributions,org_type,org_category
7262,100.0,776848.0,Montalvo Arts Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=7603,Saratoga,nan,270583.0,4.59,Executive Director,1345023.0,91.68,751777,27054413,1493906.0,94.11,0,4361062,CA,4838896,"Arts, Culture, Humanities",Performing Arts
7263,93.0,2634504.0,Monell Chemical Senses Center,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4121,Philadelphia,nan,245925.0,1.72,President,-1139094.0,80.07,856605,17217317,237422.0,85.06,0,10775011,PA,12889604,Health,Medical Research
7264,89.0,71379.0,Monadnock United Way,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14686,Keene,nan,13231.0,0.61,Executive Director,25062.0,85.0,275712,2892235,34474.0,86.84,28049,1818136,NH,2155815,Community Development,United Ways
7265,85.0,1722800.0,MoMA PS1,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6864,Long Island City,nan,517259.0,5.65,Director,2582496.0,82.57,399679,3530771,95691.0,83.73,0,7031618,NY,9759405,"Arts, Culture, Humanities",Museums
7266,93.0,1784912.0,Moffitt Cancer Center Foundation,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6317,Tampa,nan,298654.0,1.5,"Vice President, Foundation",-2992666.0,80.33,3350742,111414819,4947041.0,85.23,0,14660629,FL,11856576,Health,Medical Research
7267,93.0,360799.0,Modesto Gospel Mission,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10921,Modesto,nan,32750.0,0.57,Executive Director,-719635.0,76.55,733945,4964710,112522.0,82.69,0,4624553,CA,4863591,Human Services,Homeless Services
7268,96.0,212010.0,Mohawk Hudson Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6038,Menands,nan,104890.0,4.1,Executive Director,1716917.0,86.45,459549,6868065,214339.0,90.0,0,1884241,NY,3071375,Animals,"Animal Rights, Welfare, and Services"
7269,92.0,229110.0,The Mockingbird Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14259,Seattle,nan,117185.0,5.79,Executive Director,-648034.0,89.34,212424,2315225,-31044.0,90.57,0,1579603,WA,1307848,Human Services,Children's and Family Services
7270,88.0,132829.0,Monadnock Humane Society,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4862,Swanzey,nan,,,nan,-405932.0,85.32,187982,2599293,133405.0,86.59,0,1051783,NH,365290,Animals,"Animal Rights, Welfare, and Services"
7271,100.0,157199.0,Moms in Prayer International,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14143,Poway,nan,55273.0,4.43,President,95537.0,88.94,51153,537584,37708.0,92.17,0,1038584,CA,1213265,Religion,Religious Activities
7272,89.0,358738.0,Mohonk Preserve,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=6039,Gardiner,nan,162653.0,3.88,Executive Director,505281.0,77.66,951046,21950477,411021.0,82.39,0,2877510,NY,3482670,Environment,Environmental Protection and Conservation
7273,74.0,459582.0,MN Community Measurement,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13719,Minneapolis,nan,239763.0,5.72,President,-1341891.0,89.43,364779,1582382,6426.0,80.15,0,3362596,MN,2071324,Research and Public Policy,Social and Public Policy Research
7274,96.0,313283.0,Mitchell Institute,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4859,Portland,nan,139828.0,6.23,"President, Secretary",-902628.0,95.61,85733,33451133,29640.0,95.8,0,1842698,ME,1309446,Education,Scholarship and Financial Support
7275,89.0,276419.0,Mobile Meal Service of Spartanburg County,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10813,Spartanburg,nan,,,Executive Director,-31777.0,95.04,166275,3880018,11178.0,91.46,0,1609030,SC,2008769,Human Services,Social Services
7276,100.0,333913.0,Mobile Loaves & Fishes,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=14114,Austin,nan,119007.0,2.55,"President, CEO",1568551.0,97.38,311251,15855484,64300.0,98.14,0,4016290,TX,5884109,Human Services,Social Services
7277,85.0,437722.0,Mobile Symphony Orchestra,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15711,Mobile,nan,85000.0,4.92,"President, CEO",-71116.0,60.74,70040,482575,-15098.0,70.28,0,1218462,AL,883355,"Arts, Culture, Humanities",Performing Arts
7278,96.0,89797.0,Modest Needs,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=10708,New York,nan,157790.0,8.11,President,-338082.0,87.5,98101,255453,0.0,90.71,0,1755544,NY,1605360,Human Services,Social Services
7279,66.0,199725.0,Mobius Spokane,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=15168,Spokane,nan,107069.0,7.49,Chief Executive Officer,-3208839.0,73.02,187158,3313496,-3037804.0,69.3,0,1041000,WA,941660,"Arts, Culture, Humanities",Museums
7280,96.0,8315338.0,Missouri Botanical Garden,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4119,St. Louis,nan,278715.0,0.62,President,-3011165.0,80.92,1780548,206087726,4696297.0,86.21,0,34334864,MO,31475369,Environment,"Botanical Gardens, Parks, and Nature Centers"
7281,96.0,349146.0,Mississippi Children's Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13937,Jackson,nan,121500.0,3.67,"President, CEO",-260131.0,94.99,154703,21948586,80009.0,95.46,0,2799497,MS,1790512,"Arts, Culture, Humanities",Museums
7282,86.0,305952.0,Neighborhood Legal Services Association,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9454,Pittsburgh,nan,150110.0,3.72,Executive Director,-61544.0,87.99,125510,1901019,-85253.0,86.95,0,3593133,PA,4043786,Human and Civil Rights,Advocacy and Education
7283,96.0,2927359.0,Missouri History Museum,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=4120,St. Louis,nan,262677.0,1.21,President,4035167.0,99.48,632166,79919872,1939568.0,97.14,0,18026947,MO,23417554,"Arts, Culture, Humanities",Museums
7284,93.0,198468.0,Missoula Food Bank,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=9709,Missoula,nan,74830.0,1.97,Executive Director,3069078.0,92.5,45434,5737565,-53354.0,92.74,0,3540343,MT,6906677,Human Services,"Food Banks, Food Pantries, and Food Distribution"
7285,89.0,109722.0,Missouri Slope Areawide United Way,https://www.charitynavigator.org/index.cfm?bay=search.summary&orgid=13582,Bismarck,nan,95700.0,4.54,Executive Director,318660.0,94.42,158376,2284986,-36371.0,91.27,0,1836790,ND,2459919,Community Development,United Ways
